userName,score,at,content
Pengguna Google,5,2024-06-20 03:02:19,Game nya bagus ga kalah bagus sama mobile legends
Pengguna Google,3,2024-06-20 03:02:15,Tambah kan pitur yang bisa oflen main sama kumputer
Pengguna Google,5,2024-06-20 03:02:11,geme nya bagus
Pengguna Google,5,2024-06-20 03:02:01,mantab
Pengguna Google,5,2024-06-20 03:01:57,nice
Pengguna Google,5,2024-06-20 03:01:55,game yang bagus
Pengguna Google,1,2024-06-20 03:01:55,Game kok ngikutin ml cuakss
Pengguna Google,5,2024-06-20 03:01:53,bolehlah
Pengguna Google,5,2024-06-20 03:01:35,Bagus dr segi grafik nya dan minimal jangan lag atau patah patah tolong di perbaiki lagi dan kasih hero dan skin gratis jangan pelit pelit biar ramai nih games
Pengguna Google,5,2024-06-20 03:01:33,baguss grafiknya
Pengguna Google,5,2024-06-20 03:01:27,komentar ini akan jadi saksi di tahun depan
Pengguna Google,5,2024-06-20 03:01:26,👌
Pengguna Google,5,2024-06-20 03:01:24,mantapp
Pengguna Google,5,2024-06-20 03:01:22,"game nya bagus, tidak terlalu banyak lag, tidak seperti game sebelah yang harus memakai divice bagus untuk memainkan nya"
Pengguna Google,5,2024-06-20 03:01:22,Sukak banget sm game nyaa
Pengguna Google,5,2024-06-20 03:01:13,Game nya bagus dan even nya sangat menarik saya memainkanya dari versi beta tetapi masalah jaringan buruk diharap masalahnya bisa cepat diperbaiki
Pengguna Google,5,2024-06-20 03:01:01,mantap gamenya
Pengguna Google,4,2024-06-20 03:00:56,tier ya disamain biar ngk ktemu SM boot
Pengguna Google,3,2024-06-20 03:00:54,Server dari game HOK SANGAT tidak bagus so bad network
Pengguna Google,5,2024-06-20 03:00:45,Good
Pengguna Google,5,2024-06-20 03:00:45,"Very good, for future suggestions please make a nice lobby and elegant music"
Pengguna Google,5,2024-06-20 03:00:43,bagus
Pengguna Google,5,2024-06-20 03:00:42,👍
Pengguna Google,5,2024-06-20 03:00:35,"Seru mekanik Hero nya dan desain Hero nya juga keren keren , efek skin nya bagus banget"
Pengguna Google,5,2024-06-20 03:00:34,buat panik muntun
Pengguna Google,5,2024-06-20 03:00:34,bukan game kikir mantap. game baik
Pengguna Google,5,2024-06-20 03:00:30,"Ayo pindah ke hok, jangan main mobile legend lagiii ayoooooo"
Pengguna Google,5,2024-06-20 03:00:24,"Fatanz Ackerman seru game nya, warna baru, tadi rilis jam set 8 pagi langsung saya dowload, yg saya nanti2, smoga terus di kembangkan game H.O.K ini"
Pengguna Google,5,2024-06-20 03:00:24,good
Pengguna Google,5,2024-06-20 03:00:16,keren
Pengguna Google,5,2024-06-20 03:00:14,bagus Tencent
Pengguna Google,5,2024-06-20 03:00:07,"Baik banget developer nya jadi ange Overall gamenya sudah sangat bagus dari segi grafis, game play, beda banget Ama game sebelah inisial mobile legend🗿"
Pengguna Google,5,2024-06-20 03:00:04,keren
Pengguna Google,5,2024-06-20 03:00:00,mantap
Pengguna Google,4,2024-06-20 02:59:53,Kasih bintang 4 dulu klo bner bner bagus saya kasih bintang 5
Pengguna Google,3,2024-06-20 02:59:45,Tutor gk bisa di skip
Pengguna Google,5,2024-06-20 02:59:43,Bagus sekali grafik nya
Pengguna Google,5,2024-06-20 02:59:40,Keren
Pengguna Google,4,2024-06-20 02:59:40,Size terlalu besar
Pengguna Google,3,2024-06-20 02:59:37,Kenapa honor of kings ku login cuma ada gambar
Pengguna Google,5,2024-06-20 02:59:30,Dari segi grafik bagus dan gameplay juga seru item item juga mudah di pahami cuman agak mirip aov menurut ku
Pengguna Google,5,2024-06-20 02:59:27,😍😍😍
Pengguna Google,5,2024-06-20 02:59:27,Hari Lahirnya Akun HOK saya😜
Pengguna Google,5,2024-06-20 02:59:21,banyakin skin gratis ama diamon gratis min hhe
Pengguna Google,5,2024-06-20 02:59:16,Mantap
Pengguna Google,5,2024-06-20 02:59:13,game seru sip very good
Pengguna Google,5,2024-06-20 02:59:11,Selama main bagus2 aja dan seru2 aja. Tingkatkan lagi min
Pengguna Google,5,2024-06-20 02:59:10,Grafiknya bagus dan match makingnya seimbang
Pengguna Google,5,2024-06-20 02:59:09,Game animasinya keren gg
Pengguna Google,5,2024-06-20 02:59:08,mantap
Pengguna Google,5,2024-06-20 02:59:07,aku suka game ini banyak gratisan nya
Pengguna Google,5,2024-06-20 02:59:07,Gamenya bagus tapi aku tidak bisa dowloat maaf😆😆😆😆😆😆
Pengguna Google,5,2024-06-20 02:59:04,seru
Pengguna Google,5,2024-06-20 02:59:02,game hade Ega ls mulu Ega kaya game sebelah game moba legen di kasih Los mulu
Pengguna Google,1,2024-06-20 02:58:58,Gatau
Pengguna Google,5,2024-06-20 02:58:54,Mantap man
Pengguna Google,5,2024-06-20 02:58:49,Bagus
Pengguna Google,5,2024-06-20 02:58:48,masih lag
Pengguna Google,5,2024-06-20 02:58:47,"game yang sangat bagus dan ringan, saya menyukainya tapi boonk eh bener"
Pengguna Google,5,2024-06-20 02:58:37,No coment just 5 star for you 👍
Pengguna Google,5,2024-06-20 02:58:37,menyala abangkuhh 🔥🔥🔥
Pengguna Google,5,2024-06-20 02:58:30,"Bagus nih, langsung pindah dari game sebelah."
Pengguna Google,5,2024-06-20 02:58:30,keren banget...... ngga bisa berkata apa-apa lagi
Pengguna Google,5,2024-06-20 02:58:28,saya suka game ini sangat bagus
Pengguna Google,5,2024-06-20 02:58:28,"lebih asik dan keren dr pd mobil lejen, sering2 kasih skin gratis"
Pengguna Google,5,2024-06-20 02:58:24,"Saya suka dengan game nya grafik bagus fps mulus tidak patah patah, terutama dengan dubbing indonesia yang sangat gaul, saran saya coba tambahkan voice indo yang lebih gaul untuk hero hero nya agar orang orang indonesia lebih suka memainkanya"
Pengguna Google,5,2024-06-20 02:58:24,"SEGI MATCHMAKING SANGAT ADIL, GAK KAYA GAME JADUL YANG ITU😐"
Pengguna Google,5,2024-06-20 02:58:22,good
Pengguna Google,2,2024-06-20 02:58:13,Tutorial kek sinetron tukang bubur naik haji.
Pengguna Google,5,2024-06-20 02:58:10,keren
Pengguna Google,5,2024-06-20 02:58:10,game nya bagus gk kayak game sebelah eh
Pengguna Google,4,2024-06-20 02:58:09,Saya kasih bintang 4 dulu karena matchking nya tidak seimbang musuh terlalu kuat sedangkan tim terlalu lemah tolong perbaiki matchking nya biar seimbang lawan
Pengguna Google,5,2024-06-20 02:58:08,"Tutorialnya singkat tapi jelas banget, tak seperti game sebelah bertele tele."
Pengguna Google,5,2024-06-20 02:58:04,bagus
Pengguna Google,4,2024-06-20 02:57:57,"Setiap kali mencoba masuk selalu stuck di menu utama, padahal awal download bisa masuk dan main sampai 4 match tanpa ada masalah, setelah top up malah menjadi stuck di menu utama 🥲"
Pengguna Google,5,2024-06-20 02:57:49,👍👍
Pengguna Google,5,2024-06-20 02:57:47,sempurna
Pengguna Google,5,2024-06-20 02:57:39,Game yang luar biasa
Pengguna Google,5,2024-06-20 02:57:38,muanteb
Pengguna Google,5,2024-06-20 02:57:36,Shess😹
Pengguna Google,5,2024-06-20 02:57:35,keren sih btw ini baru season berapa
Pengguna Google,5,2024-06-20 02:57:34,keren
Pengguna Google,5,2024-06-20 02:57:29,seru bgt serius
Pengguna Google,5,2024-06-20 02:57:26,minusnya can terlalu zoom
Pengguna Google,5,2024-06-20 02:57:25,Lebih baik daripada ml
Pengguna Google,5,2024-06-20 02:57:19,Luar biasa
Pengguna Google,5,2024-06-20 02:57:18,"seru lah pokoknya, terus kembangin ya developer"
Pengguna Google,5,2024-06-20 02:57:18,ok
Pengguna Google,5,2024-06-20 02:57:15,Akhirnya rilis juga secara resmi. Salah satu moba terbaik.
Pengguna Google,5,2024-06-20 02:57:12,Keren pas aku main gak ada dark sistem bagus berttr
Pengguna Google,4,2024-06-20 02:57:01,gudgud
Pengguna Google,1,2024-06-20 02:56:59,Benerin lah min. Tiap mau masuk crash mulu
Pengguna Google,5,2024-06-20 02:56:54,Seru
Pengguna Google,5,2024-06-20 02:56:52,oke
Pengguna Google,5,2024-06-20 02:56:45,mari kita saksikan
Pengguna Google,5,2024-06-20 02:56:42,gamenya sangat bagus dan tidak kikir
Pengguna Google,5,2024-06-20 02:56:40,nice game
Pengguna Google,5,2024-06-20 02:56:40,game nya seru abissss grafik nya keren parah ap lagi suasana game nya jadi nambah asik bermain 🤩😼
Pengguna Google,5,2024-06-20 02:56:26,oke
Pengguna Google,5,2024-06-20 02:56:21,bagua
Pengguna Google,5,2024-06-20 02:56:17,mantep. lah
Pengguna Google,5,2024-06-20 02:56:16,good
Pengguna Google,5,2024-06-20 02:56:15,Tolong di beri skin buat pertama kli mencobanya biar yg download merasa di senang
Pengguna Google,5,2024-06-20 02:56:01,Mantap kali
Pengguna Google,5,2024-06-20 02:56:01,Mantap
Pengguna Google,5,2024-06-20 02:55:55,Udah bagus👍
Pengguna Google,5,2024-06-20 02:55:53,The best
Pengguna Google,5,2024-06-20 02:55:45,Game nya menarik grafik mantap ukuran file ramah dan tidak lag sama sekali untuk event pertahankan seperti ini 😁👍
Pengguna Google,5,2024-06-20 02:55:42,Ini bagus banget tapi plis ada Hero yang gak ada suara nya mohon dibikin plis
Pengguna Google,5,2024-06-20 02:55:37,bagus
Pengguna Google,5,2024-06-20 02:55:36,Thank you HONOR OF KINGS 😁 YOU ARE THE BEST.
Pengguna Google,5,2024-06-20 02:55:36,Mantap admin game lumayan seru
Pengguna Google,5,2024-06-20 02:55:30,Ini baru moba
Pengguna Google,5,2024-06-20 02:55:26,Makasih tencent udah bagi bagi skin gratis
Pengguna Google,5,2024-06-20 02:55:25,Semoga bisa log in akun lama meski server brasil wkwkw
Pengguna Google,5,2024-06-20 02:55:19,gamenya bagus gak ngelag
Pengguna Google,5,2024-06-20 02:55:16,saya suka sama game nya dan grafik nya saya baru download game ini sangat di manja seperti mendapatkan skin dan hero
Pengguna Google,5,2024-06-20 02:55:14,"for HOK developers, please ban devices that use cheats like maphack and so on, the game is good for low specification cellphones"
Pengguna Google,5,2024-06-20 02:55:13,NICE GAME!!!!!!
Pengguna Google,5,2024-06-20 02:55:07,Game seru bagus grafiknya juga memanjakan mata seru banget gamenya 👍👍👍
Pengguna Google,5,2024-06-20 02:55:05,keren
Pengguna Google,5,2024-06-20 02:55:05,Combo skillnya bagus bagus
Pengguna Google,5,2024-06-20 02:54:50,MANTAP
Pengguna Google,5,2024-06-20 02:54:49,"Grafik Kece, ping stabil, Semoga matchmaking lebih seimbang dan tanpa ada dark system"
Pengguna Google,5,2024-06-20 02:54:46,Mantap ni game
Pengguna Google,5,2024-06-20 02:54:42,Anjay udah liris nihh maen gak sihhh^^
Pengguna Google,5,2024-06-20 02:54:41,Gacor pokoknya
Pengguna Google,5,2024-06-20 02:54:39,Moonton ketar ketir
Pengguna Google,5,2024-06-20 02:54:37,Ini yang ku nanti nanti walaupun ingin nangis karena di suruh download data lagi🥲 auto nunggu semaleman lagi
Pengguna Google,5,2024-06-20 02:54:36,Good
Pengguna Google,5,2024-06-20 02:54:32,ini
Pengguna Google,5,2024-06-20 02:54:29,Game nya sangat 👍bagus
Pengguna Google,5,2024-06-20 02:54:26,Gamenya bguss bngett
Pengguna Google,5,2024-06-20 02:54:25,BAGUS
Pengguna Google,5,2024-06-20 02:54:21,"Game moba yang mekaniknya ga bosenin, cukup komplek secara item dan skill""nya. Overall is GOOD!"
Pengguna Google,5,2024-06-20 02:54:17,keren
Pengguna Google,5,2024-06-20 02:54:12,Mantap dan lancar
Pengguna Google,5,2024-06-20 02:54:10,rawrr
Pengguna Google,5,2024-06-20 02:54:03,mantap kalahkan mobile legends
Pengguna Google,5,2024-06-20 02:53:59,Di tingkatkan lagi
Pengguna Google,5,2024-06-20 02:53:59,sangat keren game ini
Pengguna Google,5,2024-06-20 02:53:58,Mantap seru
